tau0,input_scale,betas,alphas,mean_T_VPT,std_dev,mean_NRMSEs,std_NRMSEs
0.01,0.7,"[0.5, 0.1]","[0.3, 0.1, 0.1]",3.718666666666668,1.3269741687178558,"{'200': 0.6509295298941793, '400': 1.5389857748382751, '600': 2.3997337165565478, '800': 4.164707686943886, '1000': 4.661449675565696}","{'200': 0.5054509113479593, '400': 0.5448791021715526, '600': 2.4351531190499003, '800': 8.729491742966717, '1000': 10.422929504161562}"
0.01,0.7,"[0.5, 0.3]","[0.3, 0.1, 0.1]",3.9475555555555553,1.8100572803159272,"{'200': 0.7731832702805748, '400': 2.8679305694527657, '600': 6.513618773608108, '800': 9.316780688211228, '1000': 10.707423724182236}","{'200': 0.5643234965321743, '400': 6.648490470478971, '600': 13.871712503395337, '800': 19.07195200642325, '1000': 21.79410050070511}"
0.01,0.7,"[0.5, 0.5]","[0.3, 0.1, 0.1]",4.04,1.3155548048045904,"{'200': 0.5589289824573455, '400': 3.626095865373431, '600': 4.998931290968425, '800': 5.8704421287638535, '1000': 7.169122681054629}","{'200': 0.5109064990894188, '400': 14.396027626917249, '600': 21.079347748726338, '800': 23.10344573530391, '1000': 25.00051705840601}"
0.01,0.7,"[0.5, 0.7]","[0.3, 0.1, 0.1]",4.267555555555556,1.458841481839546,"{'200': 0.5057747344115692, '400': 2.725414902006135, '600': 7.478360193057023, '800': 10.25565051981796, '1000': 12.64311023369587}","{'200': 0.4665946115861889, '400': 7.556369104311312, '600': 25.874891660380865, '800': 32.84155956512104, '1000': 36.51461984337817}"
0.01,0.7,"[0.5, 0.9]","[0.3, 0.1, 0.1]",4.158666666666669,1.4453075028442135,"{'200': 0.5270019445961119, '400': 1.450999608833198, '600': 3.943716054845168, '800': 5.133792593034167, '1000': 7.799339236409677}","{'200': 0.49351296126785593, '400': 0.6122477073091545, '600': 12.292181665331956, '800': 16.912609015896656, '1000': 22.48110397444702}"
0.01,0.7,"[0.7, 0.1]","[0.3, 0.1, 0.1]",4.190666666666668,1.790575822962485,"{'200': 0.5996547315863652, '400': 1.5381877672275466, '600': 2.4963081416829414, '800': 2.870161724185529, '1000': 3.0546754916317265}","{'200': 0.5461634161486942, '400': 0.5789219437493555, '600': 4.050348536801414, '800': 5.474893150759451, '1000': 6.064938275153367}"
0.01,0.7,"[0.7, 0.3]","[0.3, 0.1, 0.1]",4.1946666666666665,1.781382234857715,"{'200': 0.6074017829219082, '400': 1.66080654552536, '600': 2.7256932857657543, '800': 3.76049161407076, '1000': 5.798948000001093}","{'200': 0.5487535572903103, '400': 0.7896383744450114, '600': 4.851187563527904, '800': 8.876339173052724, '1000': 13.292738532741762}"
0.01,0.7,"[0.7, 0.5]","[0.3, 0.1, 0.1]",4.283111111111112,1.846100782396625,"{'200': 0.568829604039412, '400': 3.799983636646793, '600': 5.38983983425533, '800': 7.09390431358394, '1000': 7.871410827502775}","{'200': 0.4789713233214895, '400': 11.393848710062187, '600': 13.554794975068667, '800': 15.888901872706867, '1000': 16.576902946516874}"
0.01,0.7,"[0.7, 0.7]","[0.3, 0.1, 0.1]",4.289333333333333,1.359265160951967,"{'200': 0.513930753136898, '400': 2.4919167881310655, '600': 4.676343538921226, '800': 5.094639913163186, '1000': 5.3681114150477525}","{'200': 0.5092851973438826, '400': 5.482857474787825, '600': 14.805899142183517, '800': 16.02286277292699, '1000': 16.85825245298389}"
0.01,0.7,"[0.7, 0.9]","[0.3, 0.1, 0.1]",4.253333333333335,1.4893637716973125,"{'200': 0.5245167996173001, '400': 1.4375496838951884, '600': 3.1472563285787003, '800': 4.488561373203818, '1000': 5.083062312800461}","{'200': 0.4888131675667763, '400': 0.6394836590000151, '600': 8.90297595294033, '800': 11.879405244466433, '1000': 13.940338127478189}"
