reservoir_size,input_dim,spectral_radius,input_scale,leaking_rate,ridge_alpha,k_ring,p_rewire_frontal,p_rewire_other,P_lat,sigma,P_call,mean_T_VPT,std_dev
300,3,0.98,0.6,0.3,1e-08,6,0.4,0.2,0.06,3,0.005,9.424200000000003,1.378622051180091
300,3,0.98,0.6,0.3,1e-08,6,0.4,0.2,0.06,3,0.01,9.375,1.5550450154255984
300,3,0.98,0.6,0.3,1e-08,6,0.4,0.2,0.06,5,0.005,9.372600000000002,1.4077346482913602
300,3,0.98,0.6,0.3,1e-08,6,0.4,0.2,0.06,5,0.01,9.135,1.3237915999129173
300,3,0.98,0.6,0.3,1e-08,6,0.4,0.2,0.06,7,0.005,9.772200000000002,1.2783324919597399
300,3,0.98,0.6,0.3,1e-08,6,0.4,0.2,0.06,7,0.01,9.052200000000001,1.4294640813955415
300,3,0.98,0.6,0.3,1e-08,8,0.2,0.05,0.02,3,0.005,9.7542,1.6986974892546345
300,3,0.98,0.6,0.3,1e-08,8,0.2,0.05,0.02,3,0.01,9.1026,1.4425264087703902
300,3,0.98,0.6,0.3,1e-08,8,0.2,0.05,0.02,5,0.005,9.9108,1.3693935007878482
300,3,0.98,0.6,0.3,1e-08,8,0.2,0.05,0.02,5,0.01,9.891000000000002,1.3217749430216932
300,3,0.98,0.6,0.3,1e-08,8,0.2,0.05,0.02,7,0.005,9.696000000000002,1.4095837683514945
300,3,0.98,0.6,0.3,1e-08,8,0.2,0.05,0.02,7,0.01,9.900000000000004,1.2573486390019277
300,3,0.98,0.6,0.3,1e-08,8,0.2,0.05,0.04,3,0.005,9.219000000000001,1.2313287944330709
300,3,0.98,0.6,0.3,1e-08,8,0.2,0.05,0.04,3,0.01,9.786600000000004,1.6944884891907634
300,3,0.98,0.6,0.3,1e-08,8,0.2,0.05,0.04,5,0.005,8.869800000000001,1.4804762612078592
300,3,0.98,0.6,0.3,1e-08,8,0.2,0.05,0.04,5,0.01,9.306600000000001,1.6276650884011739
300,3,0.98,0.6,0.3,1e-08,8,0.2,0.05,0.04,7,0.005,8.874,1.25433871023739
300,3,0.98,0.6,0.3,1e-08,8,0.2,0.05,0.04,7,0.01,9.262799999999999,1.3699454587683408
300,3,0.98,0.6,0.3,1e-08,8,0.2,0.05,0.06,3,0.005,9.5118,1.577329249078961
300,3,0.98,0.6,0.3,1e-08,8,0.2,0.05,0.06,3,0.01,9.244800000000001,1.3619915418239577
300,3,0.98,0.6,0.3,1e-08,8,0.2,0.05,0.06,5,0.005,8.625,1.3579134729429558
300,3,0.98,0.6,0.3,1e-08,8,0.2,0.05,0.06,5,0.01,8.909399999999998,1.1716924681843777
300,3,0.98,0.6,0.3,1e-08,8,0.2,0.05,0.06,7,0.005,9.049800000000001,1.5627738032101763
300,3,0.98,0.6,0.3,1e-08,8,0.2,0.05,0.06,7,0.01,9.1296,1.7813841360021148
300,3,0.98,0.6,0.3,1e-08,8,0.2,0.1,0.02,3,0.005,9.402,1.3648885668800947
300,3,0.98,0.6,0.3,1e-08,8,0.2,0.1,0.02,3,0.01,9.901200000000001,1.6745801145361787
300,3,0.98,0.6,0.3,1e-08,8,0.2,0.1,0.02,5,0.005,9.5106,1.4461255962052535
300,3,0.98,0.6,0.3,1e-08,8,0.2,0.1,0.02,5,0.01,9.1122,1.4015800940367267
300,3,0.98,0.6,0.3,1e-08,8,0.2,0.1,0.02,7,0.005,8.8134,1.3302433010543593
300,3,0.98,0.6,0.3,1e-08,8,0.2,0.1,0.02,7,0.01,9.235800000000003,1.389543651707279
300,3,0.98,0.6,0.3,1e-08,8,0.2,0.1,0.04,3,0.005,8.6172,1.2204206487928655
300,3,0.98,0.6,0.3,1e-08,8,0.2,0.1,0.04,3,0.01,9.0846,1.6599159135329717
300,3,0.98,0.6,0.3,1e-08,8,0.2,0.1,0.04,5,0.005,9.6174,1.6496103903649488
300,3,0.98,0.6,0.3,1e-08,8,0.2,0.1,0.04,5,0.01,9.042000000000002,1.3449291431149815
300,3,0.98,0.6,0.3,1e-08,8,0.2,0.1,0.04,7,0.005,9.509400000000001,1.2736247642064749
300,3,0.98,0.6,0.3,1e-08,8,0.2,0.1,0.04,7,0.01,9.417600000000002,1.4008765256081637
300,3,0.98,0.6,0.3,1e-08,8,0.2,0.1,0.06,3,0.005,8.676,1.4045383583227617
300,3,0.98,0.6,0.3,1e-08,8,0.2,0.1,0.06,3,0.01,9.4458,1.7074508367739323
300,3,0.98,0.6,0.3,1e-08,8,0.2,0.1,0.06,5,0.005,8.9298,1.3671656666256649
300,3,0.98,0.6,0.3,1e-08,8,0.2,0.1,0.06,5,0.01,9.1758,1.7804094922236289
300,3,0.98,0.6,0.3,1e-08,8,0.2,0.1,0.06,7,0.005,8.815199999999999,1.227136569416786
300,3,0.98,0.6,0.3,1e-08,8,0.2,0.1,0.06,7,0.01,8.8722,1.400937814465724
300,3,0.98,0.6,0.3,1e-08,8,0.2,0.2,0.02,3,0.005,9.238200000000003,1.3045524749890285
300,3,0.98,0.6,0.3,1e-08,8,0.2,0.2,0.02,3,0.01,9.761400000000004,1.5719620987797387
300,3,0.98,0.6,0.3,1e-08,8,0.2,0.2,0.02,5,0.005,9.604800000000001,1.8006814709992434
300,3,0.98,0.6,0.3,1e-08,8,0.2,0.2,0.02,5,0.01,9.303,1.3740975947872118
300,3,0.98,0.6,0.3,1e-08,8,0.2,0.2,0.02,7,0.005,10.016400000000004,1.2027245071087562
300,3,0.98,0.6,0.3,1e-08,8,0.2,0.2,0.02,7,0.01,9.7386,1.5600194998781263
300,3,0.98,0.6,0.3,1e-08,8,0.2,0.2,0.04,3,0.005,9.6378,1.8095547408133303
