input_scale,leaking_rate,ridge_alpha,cycle_weight,connect_weight,combine_factor,mean_T_VPT,std_dev
0.1,0.6,1e-06,0.6,1.0,0.4,9.517000000000005,1.27298507453937
0.1,0.6,1e-06,0.6,1.0,0.5,9.563000000000004,1.3413019794214889
0.1,0.6,1e-06,0.6,1.0,0.6,9.733000000000006,1.1332303384572784
0.1,0.6,1e-06,0.6,1.0,0.7,9.713000000000005,0.9093134773003186
0.1,0.6,1e-06,0.8,0.6,0.3,9.153000000000008,1.7214676877594894
0.1,0.6,1e-06,0.8,0.6,0.4,9.077000000000005,1.507120101385423
0.1,0.6,1e-06,0.8,0.6,0.5,9.407000000000004,1.3434623180424496
0.1,0.6,1e-06,0.8,0.6,0.6,9.880000000000003,1.2841339493993635
0.1,0.6,1e-06,0.8,0.6,0.7,10.043000000000008,1.201786586711636
0.1,0.6,1e-06,0.8,0.8,0.3,8.956000000000005,1.438813399993203
0.1,0.6,1e-06,0.8,0.8,0.4,8.996000000000002,1.3815585402001593
0.1,0.6,1e-06,0.8,0.8,0.5,9.330000000000009,1.3518357888441912
0.1,0.6,1e-06,0.8,0.8,0.6,9.810000000000004,1.2667517515282931
0.1,0.6,1e-06,0.8,0.8,0.7,10.039000000000005,1.26458649368084
0.1,0.6,1e-06,0.8,1.0,0.3,9.033000000000003,1.5660431028550925
0.1,0.6,1e-06,0.8,1.0,0.4,9.137000000000004,1.6040358474797234
0.1,0.6,1e-06,0.8,1.0,0.5,9.542000000000005,1.5088525441540002
0.1,0.6,1e-06,0.8,1.0,0.6,9.723000000000006,1.6517660245930725
0.1,0.6,1e-06,0.8,1.0,0.7,10.070000000000007,1.5092448442847175
0.1,0.6,1e-06,1.0,0.6,0.3,4.726000000000001,1.3794361166795663
0.1,0.6,1e-06,1.0,0.6,0.4,5.061,0.5375304642529578
0.1,0.6,1e-06,1.0,0.6,0.5,5.194000000000005,0.4511363430272471
0.1,0.6,1e-06,1.0,0.6,0.6,5.547000000000007,0.9850944117189971
0.1,0.6,1e-06,1.0,0.6,0.7,5.762000000000006,1.1438513889487543
0.1,0.6,1e-06,1.0,0.8,0.3,5.146000000000001,1.016210608092634
0.1,0.6,1e-06,1.0,0.8,0.4,5.375000000000003,0.9842738440088709
0.1,0.6,1e-06,1.0,0.8,0.5,5.365000000000002,0.7492896636148106
0.1,0.6,1e-06,1.0,0.8,0.6,5.434000000000005,0.7404350072761307
0.1,0.6,1e-06,1.0,0.8,0.7,5.752000000000004,1.1070934919870103
0.1,0.6,1e-06,1.0,1.0,0.3,5.299000000000005,1.3517318521067687
0.1,0.6,1e-06,1.0,1.0,0.4,5.441000000000005,1.2974201324166343
0.1,0.6,1e-06,1.0,1.0,0.5,5.481000000000007,0.8408917885197843
0.1,0.6,1e-06,1.0,1.0,0.6,5.358000000000006,0.05996665740226322
0.1,0.6,1e-06,1.0,1.0,0.7,5.856000000000007,1.150088692232038
0.1,0.6,1e-07,0.6,0.6,0.3,11.516000000000002,1.2185827834004541
0.1,0.6,1e-07,0.6,0.6,0.4,10.773000000000005,0.9147081501768771
0.1,0.6,1e-07,0.6,0.6,0.5,10.742000000000003,1.3658242932383347
0.1,0.6,1e-07,0.6,0.6,0.6,10.750000000000004,1.0670051546267247
0.1,0.6,1e-07,0.6,0.6,0.7,10.677000000000003,0.7750941878249362
