spectral_radius,connectivity,input_scale,ridge_alpha,leaking_rate,mean_T_VPT,std_dev
0.92,0.2,0.6,1e-07,0.5,70.68832173240524,35.44228699647466
0.92,0.2,0.6,1e-07,0.7,82.20835444613347,48.8572245936526
0.92,0.2,0.6,1e-07,0.9,86.88695095607649,57.03117351403946
0.92,0.2,0.7,1e-07,0.1,54.968397471797736,38.203180419444095
0.92,0.2,0.7,1e-07,0.3,76.18876176760809,53.68702160219937
0.92,0.2,0.7,1e-07,0.5,75.57537936368242,56.10649000459005
0.92,0.2,0.7,1e-07,0.7,82.16479540585468,52.710814524653394
0.92,0.2,0.7,1e-07,0.9,74.90777039940973,49.47313924673812
0.92,0.2,0.8,1e-07,0.1,52.18773057400148,32.51885584759662
0.92,0.2,0.8,1e-07,0.3,65.30744681796766,42.5294705401325
0.92,0.2,0.8,1e-07,0.5,74.02281071374598,58.515050268818605
0.92,0.2,0.8,1e-07,0.7,65.73281418069,43.04606799388549
0.92,0.2,0.8,1e-07,0.9,59.25851845925452,51.49869485424627
0.92,0.2,0.9,1e-07,0.1,54.15988834662328,47.47029011144532
0.92,0.2,0.9,1e-07,0.3,63.1348285640629,42.77088087273344
0.92,0.2,0.9,1e-07,0.5,64.0393453698518,59.4067611297846
0.92,0.2,0.9,1e-07,0.7,40.15343449698197,33.391146914264894
0.92,0.2,0.9,1e-07,0.9,35.03169142420282,46.41169683805143
0.92,0.2,1.0,1e-07,0.1,48.05717790756594,46.98576714350244
0.92,0.2,1.0,1e-07,0.3,43.99018588153719,30.20704196337743
0.92,0.2,1.0,1e-07,0.5,62.95703656292504,58.64440708924265
0.92,0.2,1.0,1e-07,0.7,33.59424309500316,40.98607104453728
0.92,0.2,1.0,1e-07,0.9,28.15558578019575,32.63097305466462
0.92,0.3,0.1,1e-07,0.1,46.20947453574064,46.570250482093655
0.92,0.3,0.1,1e-07,0.3,66.65688810660407,35.034297269298975
0.92,0.3,0.1,1e-07,0.5,59.61276902152172,38.91497220702406
0.92,0.3,0.1,1e-07,0.7,50.48181632308362,22.43800752438102
0.92,0.3,0.1,1e-07,0.9,44.80891804677707,25.160625565729276
0.92,0.3,0.2,1e-07,0.1,69.26331884328523,41.71612716937215
0.92,0.3,0.2,1e-07,0.3,70.06160492839427,32.75291606909949
0.92,0.3,0.2,1e-07,0.5,64.35492617187153,44.06397886534935
0.92,0.3,0.2,1e-07,0.7,58.98116293747944,26.820696876504883
0.92,0.3,0.2,1e-07,0.9,70.9634548541661,34.84535679576839
0.92,0.3,0.3,1e-07,0.1,77.96445937897252,54.84899649862069
0.92,0.3,0.3,1e-07,0.3,65.69636682045675,40.51148744415643
0.92,0.3,0.3,1e-07,0.5,76.08297552693104,49.16640480898791
0.92,0.3,0.3,1e-07,0.7,91.21618618378358,48.341756883145486
0.92,0.3,0.3,1e-07,0.9,98.54299455067517,49.35226755489121
0.92,0.3,0.4,1e-07,0.1,61.5795930341094,42.86798768680023
0.92,0.3,0.4,1e-07,0.3,68.37213643758166,36.55006567795478
0.92,0.3,0.4,1e-07,0.5,79.8655003511392,39.730417553418214
0.92,0.3,0.4,1e-07,0.7,106.51296548168298,54.09639307969118
0.92,0.3,0.4,1e-07,0.9,119.89225804731046,59.46765768197953
0.92,0.3,0.5,1e-07,0.1,61.841391755784905,37.59648949196764
0.92,0.3,0.5,1e-07,0.3,86.5011423136073,45.5169878015245
0.92,0.3,0.5,1e-07,0.5,103.19358882043895,55.73078041375358
0.92,0.3,0.5,1e-07,0.7,112.9557031229165,57.016641610667705
0.92,0.3,0.5,1e-07,0.9,122.70803886533147,62.651669197452236
0.92,0.3,0.6,1e-07,0.1,64.83096425491817,41.92979994915677
0.92,0.3,0.6,1e-07,0.3,86.90428567618743,40.23691574255946
0.92,0.3,0.6,1e-07,0.5,110.37105190637475,63.870139266184175
0.92,0.3,0.6,1e-07,0.7,121.92664302033053,65.67289496894317
